course_name,course_num,title,department,credit_hours,course_description,prereq,theme,subtheme
PBSI,621,Seminar in Social Psychology,Psychological & Brain Sciences,3,Survey of research in social psychology; attitudes and persuasion; self-regulation; motivation; self and identity; applied social problems; existential social psychology; social psychology of emotion; and social cognition; course content will vary by semester.,Graduate classification or approval of instructor,Research Skills,Measurement & Survey Design
PBSI,633,Gender and Minority Issues in Clinical Psychology,Psychological & Brain Sciences,3,"Human behavior and mental health as a function of culture, gender and sexual orientation; discussion of absolutist, relativist and universalist perspectives in cross-cultural psychology; psychology of stereotype and prejudice; adjustment through acculturation and biculturalism; learning about our own and other cultures.",Graduate classification or approval of instructor,Systems Knowledge,Sociological / Psychological Perspectives
PBSI,672,Qualitative Methods in Psychological Sciences,Psychological & Brain Sciences,3,Overview of psychology qualitative methods; assumptions of qualitative research; focus groups; qualitative analysis software; thematic analysis.,Graduate classification or approval of instructor,Research Skills,Qualitative
PHEB,614,Analysis of Longitudinal and Multilevel Data,"Public Health, Epidemiology and Biostatistics",3,Modern approaches to the analysis of longitudinal and multilevel data; random effects model and the generalized estimating equations; both continuous and discrete outcomes; missing data issues,"PHEB 602, PHEB 603 and PHEB 609.",Research Skills,Quantitative
PHEB,604,R Programming for Public Health Research,"Public Health, Epidemiology and Biostatistics",3,"Focus on basic programming skills that are essential when solving problems requiring more than merely a sequence of simple, discrete statistical and mathematical operations; relevant topics in programming in general, R language is the main vehicle for learning concepts and skills in a tangible way; includes basic data structure, looping, conditional execution, functional programming, computer graphics and use of third party packages.",PHEB 602 or equivalent,Communication & Influence,Stakeholder Engagement & Public Communication
PHEB,606,Survival Analysis,"Public Health, Epidemiology and Biostatistics",3,"Introduction to statistical methods for survival (time-to-event) data analysis; basic concepts of survival analysis, including hazard functions, survival functions, types of censoring, Kaplan-Meier estimates, logrank tests",PHEB 602 and PHEB 603.,Research Skills,Quantitative
PHEB,609,Categorical Data Analysis,"Public Health, Epidemiology and Biostatistics",3,"Introduction to the basic theory and applications of methods used to analyze categorical data; theory covered but emphasis on selecting appropriate analysis strategies, analyzing data and interpreting results of those analyses; no background in calculus or matrix algebra required.","PHEB 602 and PHEB 603, or STAT 651 and STAT 652.",Research Skills,Quantitative
PHEB,607,Sample Survey Methodology,"Public Health, Epidemiology and Biostatistics",3,"The purpose of this course is to prepare students to examine the unified set of concepts, principles and methodologies that govern sample survey methodology. It is designed to build on a foundation of coherent survey concepts and foster the understanding of the principles and methods of sampling theory, survey design, analysis and interpretation. This course is designed for epidemiology track and other public health students requiring a more thorough knowledge of the concepts and methods used in survey research. This course stresses survey designs, methodological issues and analytic methods as they relate to conduct of surveys.",PHEB 602 and PHEB 603,Research Skills,Measurement & Survey Design
POLS,603,Quantitative Political Analysis II,Political Science,3,Introduction to advanced applications of quantitative analysis in political science; critical evaluation of the use of several advanced statistical techniques in political analysis.,POLS 602 or equivalent.,Research Skills,Quantitative
POLS,602,Quantitative Political Analysis,Political Science,3,"Theory, techniques and applications of quantitative analysis in political science. Required for political science majors.",POLS 601 or equivalent.,Research Skills,Quantitative
POLS,628,Comparative Public Policy,Political Science,3,"Seminar in political science theories of public policy as developed and tested in comparative politics; worldwide topics with an emphasis on exploring theoretical frameworks across policy areas, public policy changes and differences across time and countries.","POLS 601 and POLS 602, or approval of instructor.",Policy Analysis,Policy Design & Strategy
POLS,658,American Public Policy,Political Science,3,Theoretically-driven survey of political science research on public policy in the United States; examination of how key institutions of American government affect public policy formulation and implementation.,Graduate classification or approval of instructor,Research Skills,Measurement & Survey Design
POLS,661,Diversity in Politics,Political Science,3,"Major theories and research questions related to the political representation of historically marginalized groups in the U.S. and abroad; including political participation, recruitment, elections and appointment to government posts.",Graduate classification or approval of instructor,Policy Analysis,Policy Design & Strategy
POLS,662,"Policy, Institutions and Representation",Political Science,3,"Origins of political identity; how identity affects policy preferences, policy-making venues and specific policy domains.",Graduate classification or approval of instructor,Policy Analysis,Policy Design & Strategy
POLS,640,Public Administration and Public Policy,Political Science,3,"Overview of the literature on public administration and public policy; attention to links between bureaucracy, democracy and policy outcomes; introduction to the political side of bureaucracy; overview of political science theory on the public policy process.",Graduate classification,Policy Analysis,Policy Design & Strategy
POLS,642,Seminar in Public Policy,Political Science,3,Literature and research problems of a selected aspect of public policy.,Graduate classification,Policy Analysis,Policy Design & Strategy
POLS,644,"Seminar in Politics of Race, Ethnicity and Public Policy",Political Science,3,"Examines race, ethnicity, and public policy; emphasizes how policy process considers race and ethnicity, and differential impact of policy on racial groups",Graduate classification,Policy Analysis,Policy Design & Strategy
POLS,645,"Politics, Policy and Administration",Political Science,3,"Relationship of politics and administration with reference to the influence of administration and bureaucracy, legislative bodies, parties, interest groups and other forces in the formation and execution of public policy in various levels of, primarily, American government.",Graduate classification,Policy Analysis,Policy Design & Strategy
POLS,646,Public Policy Theory,Political Science,3,"Major theories and classifications of public policies, and general explanations of policy formation and impact; recent research testing major theories.",Graduate classification,Policy Analysis,Policy Design & Strategy
PSAA,613,Immigration and Education Policy,Public Service and Administration,3,"Explores contemporary issues and debates in US education policy as it relates to immigrant children and children of immigrants; examines long-run and current issues that immigrant students face, such as educational assimilation, equity, and access to higher education; includes readings from the education, economics, and sociology disciplines.",Graduate classification,Policy Analysis,Policy Design & Strategy
PSAA,617,U.S. State and Local Government: Institutions and Policy,Public Service and Administration,3,"A practical, working knowledge of the institutions and processes through which state and local policy is made and implemented; application of theoretical and empirical tools used to evaluate policy at the state and local levels.",Graduate classification,Policy Analysis,Policy Design & Strategy
PSAA,618,Education Policy,Public Service and Administration,3,"Examines the role of government in education and education policy issues, including equity, adequacy and accountability; final section of class will focus on current policy topics, emphasizing two strategies favored by the Obama administration--charter schools and pay for performance.",Graduate classification,Policy Analysis,Policy Design & Strategy
PSAA,630,Program Evaluation in Public and Nonprofit Organizations,Public Service and Administration,3,"Organizations today are responding to increasing demands for accountability; demands come from an increasingly sophisticated public, clientele, and from funding sources including government, foundations, and corporations; designed to introduce theories, research, and practice for program evaluation and systems that support the organization's information needs.",Graduate classification,Research Skills,Evaluation & Cost Analysis
PSAA,636,Grant and Project Management in the Public and Nonprofit Sectors,Public Service and Administration,3,"Examination of the use and provision of grants in the public and nonprofit sectors; exploration of the conceptual background of government and private grants; the management of grants and projects; application of skills and methods related to proposal writing needs statements, program budgets and evaluations.",Graduate classification,Research Skills,Evaluation & Cost Analysis
PSAA,637,Decision Making in Government and Public Service,Public Service and Administration,3,Introduction to the study and practice of judgment and decision making processes in government and administrative settings; content is firmly grounded in empirically-based theory and research with a practical slant designed to help develop and improve decision making skills.,Graduate classification,Communication & Influence,Stakeholder Engagement & Public Communication
